College ID,Country,Total Students,Male,Female,CGPA,Annual Family Income,Branch,Sports,Research Papers Published,Placement Rate,Faculty Count
College 38,UK,12583,7773,4810,7.200848000000001,1601696,Economics,Basketball,26,84.5,614
College 38,USA,7416,5847,1569,7.596306,372612,Chemical Engineering,Chess,30,80.26,300
College 53,Switzerland,9071,1639,539,7.091010000000001,1222020,Computer Science,Athletics,48,100.0,407
College 93,South Africa,23584,7184,8972,8.544884,2409768,Mechanical Engineering,Football,39,99.5,491
College 100,Australia,19744,9966,8504,8.019514000000001,1799028,Electrical Engineering,Badminton,12,98.38,304
College 90,China,15679,2980,8793,9.220374,3260748,Electrical Engineering,Tennis,33,88.59,349
College 31,India,27097,8744,8150,9.0039625,3167925,Physics,Volleyball,31,94.52,612
College 44,Australia,7126,5244,1882,7.9532355,646471,Chemical Engineering,Cricket,46,65.75999999999999,220
College 60,Canada,11537,1340,7895,10.0,3834906,Business Administration,Chess,3,84.02,557
College 76,Canada,8108,13580,-5472,9.7836575,487315,Civil Engineering,Swimming,41,87.24,265
College 17,China,25373,6690,14765,7.791707499999999,3383415,Economics,Basketball,48,89.35,612
College 79,UK,12919,5478,7070,7.7670175,1454035,Physics,Cricket,17,99.96,443
College 73,India,18492,9796,1177,9.2536125,3027225,Chemical Engineering,Volleyball,26,98.48,538
College 39,Japan,16248,10149,6099,7.1015845,2143169,Civil Engineering,Athletics,14,90.79,485
College 42,Australia,3987,4922,-935,7.0351485,1090297,Mathematics,Chess,4,98.61,186
College 48,China,28936,6915,6057,8.2251375,810275,Computer Science,Football,4,78.17,649
College 12,South Africa,6002,8984,-2982,9.6823085,4264617,Civil Engineering,Swimming,3,86.03,272
College 96,USA,29839,7021,7313,9.798636,3557272,Biotechnology,Swimming,0,83.16,779
College 89,India,3043,14597,-11554,8.140906,4021812,Mechanical Engineering,Athletics,43,83.34,109
College 18,Switzerland,15500,11162,4338,8.800426,780852,Civil Engineering,Cricket,26,76.94,205
College 79,USA,23090,6593,3980,8.9401265,4720253,Chemical Engineering,Chess,47,73.85000000000001,565
College 96,USA,1539,10411,-8872,7.593104999999999,2026210,Economics,Athletics,24,65.78,373
College 6,UK,16466,13381,3085,10.0,2329034,Biotechnology,Cricket,35,70.09,296
College 43,Singapore,2693,2148,545,8.9558745,291749,Mechanical Engineering,Basketball,3,98.21,518
College 35,Switzerland,9621,5164,3349,10.0,4941952,Mathematics,Swimming,42,69.67,223
College 98,India,26421,5452,13988,9.2633125,2286625,Civil Engineering,Swimming,32,100.0,659
College 54,Australia,25178,11271,13907,7.749891499999999,3479783,Electrical Engineering,Chess,44,76.39,648
College 62,Switzerland,8082,4396,3686,9.856675,4833350,Mathematics,Tennis,4,82.64,327
College 69,UK,16071,2408,7154,8.566373,1832746,Mathematics,Chess,24,67.47,215
College 82,UK,12354,13684,-1330,10.0,4610966,Mathematics,Tennis,9,89.38000000000001,276
College 16,USA,8420,609,6925,10.0,2680365,Mathematics,Athletics,17,86.95,145
College 8,Japan,14153,7115,7038,8.4044365,2148873,Physics,Basketball,35,68.16,456
College 89,Switzerland,26130,5601,7257,9.018886,4977772,Electrical Engineering,Volleyball,18,97.53,528
College 96,UK,20232,3134,11435,8.395138,3470276,Electrical Engineering,Basketball,31,100.0,312
College 90,Switzerland,8140,5159,2981,9.7292835,3858567,Computer Science,Swimming,42,76.15,428
College 86,Canada,8734,4953,801,9.031266,2882532,Chemical Engineering,Basketball,43,100.0,522
College 31,UK,10017,11348,-1331,7.969386999999999,2158774,Civil Engineering,Football,39,69.74000000000001,282
College 10,India,23036,12275,9910,8.199402,1458804,Economics,Chess,24,91.14,484
College 56,UK,28054,6161,7443,7.8754835,1550967,Mechanical Engineering,Cricket,31,100.0,620
College 76,Australia,19738,1348,9758,7.810715999999999,3761432,Biotechnology,Cricket,38,75.5,655
College 92,India,28036,8161,2951,9.254792,1949584,Business Administration,Cricket,17,68.47,512
College 70,South Africa,19447,9818,6535,7.7446065,2589213,Physics,Badminton,1,66.78,300
College 20,UK,26923,4873,9915,10.0,3865528,Electrical Engineering,Football,45,97.48,442
College 5,UK,10195,9766,429,7.25551,951020,Mechanical Engineering,Volleyball,13,67.8,548
College 23,Switzerland,14892,12145,2747,10.0,4013419,Physics,Tennis,2,85.98,436
College 9,Switzerland,13434,13506,-72,9.8590645,4738129,Computer Science,Athletics,15,73.1,513
College 58,Australia,4690,4441,249,10.0,4440160,Electrical Engineering,Chess,31,77.5,417
College 59,Switzerland,9870,8820,1050,10.0,4186133,Civil Engineering,Cricket,34,68.12,169
College 93,Japan,25389,3650,1142,10.0,4277843,Chemical Engineering,Football,14,87.21000000000001,379
College 80,Canada,17925,7965,587,8.296086,2212172,Electrical Engineering,Basketball,10,83.13,650
College 54,China,2051,13341,-11290,8.015047,2290094,Economics,Basketball,43,72.09,319
College 46,USA,24308,2384,6941,9.5331285,4866257,Economics,Football,4,66.91000000000001,409
College 22,Japan,27350,5939,2951,10.0,3549856,Physics,Tennis,35,98.72,742
College 64,South Africa,17450,9096,685,10.0,3436247,Chemical Engineering,Volleyball,25,64.97999999999999,600
College 8,Singapore,12839,3650,6069,10.0,2150388,Business Administration,Athletics,31,83.53999999999999,504
College 20,Canada,13857,4054,8183,8.708102,2516204,Business Administration,Chess,25,62.86,427
College 51,UK,26570,3201,14596,8.0784245,3176849,Electrical Engineering,Basketball,19,91.02,512
College 78,Australia,5604,2050,3554,8.2819275,1863855,Electrical Engineering,Football,34,87.28,202
College 39,Canada,3883,8870,-4987,7.884988000000001,1309976,Economics,Tennis,0,81.76,102
College 37,South Africa,25329,1222,7899,7.668841,277682,Business Administration,Cricket,19,79.39,699
College 50,Switzerland,6554,10438,-3884,8.5525815,3685163,Computer Science,Volleyball,34,74.2,455
College 34,Australia,20781,11048,1708,7.963236,3466472,Economics,Volleyball,21,74.61999999999999,395
