College ID,Country,Total Students,Male,Female,CGPA,Annual Family Income,Branch,Sports,Research Papers Published,Placement Rate,Faculty Count
College 33,South Africa,29429,2515,1517,9.385475,4410950,Physics,Athletics,5,66.43,346
College 78,Canada,28888,14029,7523,8.3736585,2207317,Biotechnology,Chess,13,96.1,505
College 28,South Africa,22207,6656,8616,10.0,2625337,Biotechnology,Swimming,30,91.95,682
College 18,Canada,4411,6399,-1988,8.538732,1677464,Computer Science,Cricket,45,85.32,372
College 55,Singapore,7739,12600,-4861,7.80748,2094960,Mechanical Engineering,Tennis,3,95.34,143
College 33,South Africa,12040,4950,1790,10.0,2119715,Business Administration,Badminton,28,66.84,298
College 15,Canada,11699,6950,4749,8.850995,1361990,Chemical Engineering,Tennis,13,88.64,348
College 61,India,20063,6107,5533,7.0171225,434245,Physics,Tennis,46,77.13,392
College 11,China,27948,6824,13865,9.6955085,4251017,Civil Engineering,Badminton,8,89.47,704
College 36,Japan,22590,2671,8322,10.0,4614595,Civil Engineering,Tennis,36,85.08,325
College 15,South Africa,4599,1818,2781,10.0,1150414,Electrical Engineering,Tennis,40,99.09,107
College 53,Canada,22288,2420,5719,8.6421725,4844345,Civil Engineering,Basketball,3,68.56,279
College 62,India,19797,8719,10693,9.024064,2388128,Chemical Engineering,Badminton,15,100.0,467
College 48,Australia,25666,8687,8905,9.552615,4645230,Physics,Badminton,44,75.88000000000001,503
College 94,Australia,6960,1737,4581,10.0,4966137,Mechanical Engineering,Tennis,30,89.53,204
College 15,USA,13301,11072,2229,7.6371275,2174255,Mathematics,Athletics,5,94.54,483
College 63,USA,17412,10035,6002,9.1341475,1368295,Physics,Cricket,29,65.57000000000001,448
College 87,India,7797,14176,-6379,8.324103,628206,Chemical Engineering,Tennis,6,64.33,348
College 43,Australia,23878,3770,5133,8.862596499999999,4445193,Chemical Engineering,Cricket,27,67.07000000000001,473
College 50,South Africa,21614,527,3295,8.3127545,1285509,Chemical Engineering,Badminton,10,100.0,442
