College ID,Country,Total Students,Male,Female,CGPA,Annual Family Income,Branch,Sports,Research Papers Published,Placement Rate,Faculty Count
College 79,Australia,22685,4898,3607,8.6980935,416187,Business Administration,Athletics,35,68.73,444
College 85,Japan,8040,4269,3771,9.5454545,450909,Electrical Engineering,Football,31,70.32,545
College 64,UK,17616,7240,5749,9.1345225,4009045,Mechanical Engineering,Volleyball,27,98.56,375
College 23,USA,17276,12367,4909,10.0,2668077,Chemical Engineering,Athletics,14,84.31,521
College 85,India,19498,6349,2128,10.0,3886986,Physics,Chess,29,71.27000000000001,507
College 50,USA,4886,10842,-5956,9.740457,2820914,Computer Science,Cricket,49,96.14,472
College 14,Japan,25920,8407,529,7.3509755,681951,Mathematics,Basketball,18,63.92,534
College 85,Japan,10577,2317,2069,6.7240165,988033,Mathematics,Volleyball,16,93.48,312
College 76,South Africa,25171,5709,7831,7.852313,1364626,Civil Engineering,Tennis,10,64.06,497
College 46,Australia,10274,14213,-3939,8.441751,2043502,Mathematics,Tennis,6,61.28,404
College 5,UK,23912,9285,11661,10.0,2961154,Computer Science,Football,11,90.05999999999999,708
College 66,China,21749,7987,6117,7.1745355,2009071,Mathematics,Athletics,16,92.97,545
College 22,UK,14537,9412,5125,7.6717985,1883597,Physics,Badminton,35,99.69,326
College 70,UK,10597,3085,7512,10.0,4877554,Mechanical Engineering,Basketball,25,82.61,429
College 2,Canada,22500,10837,4202,9.8101215,2580243,Civil Engineering,Football,48,76.95,521
College 29,South Africa,24079,9638,1330,8.8875025,4595005,Civil Engineering,Cricket,41,68.71,483
College 61,UK,8618,10913,-2295,10.0,3331605,Mechanical Engineering,Volleyball,49,96.16,527
College 100,India,12241,984,7719,8.879578500000001,4079157,Business Administration,Badminton,10,76.67,290
College 71,Canada,8944,4073,4871,7.9692685,1818537,Business Administration,Football,10,100.0,310
College 16,China,1836,9302,-7466,10.0,3345152,Civil Engineering,Badminton,6,96.95,485
College 64,USA,9600,14716,-5116,9.1940215,3468043,Electrical Engineering,Swimming,44,78.14,524
College 97,Switzerland,3751,8485,-4734,8.3279785,4075957,Civil Engineering,Football,47,93.7,496
College 97,Switzerland,25891,10627,11297,9.1934345,3806869,Mechanical Engineering,Tennis,36,88.27,618
College 14,South Africa,10760,13735,-2975,7.7147205,2009441,Physics,Athletics,45,76.19,222
College 43,Canada,5356,5320,36,9.415419,2070838,Biotechnology,Tennis,15,77.98,395
College 76,South Africa,29467,1518,7171,10.0,4396484,Mechanical Engineering,Basketball,46,100.0,484
College 43,India,4174,14259,-10085,9.734162,3708324,Mechanical Engineering,Chess,40,82.49,491
College 70,UK,25394,12993,3134,8.362712,1625424,Civil Engineering,Basketball,34,99.6,729
College 55,Singapore,7816,5680,718,7.608346500000001,256693,Chemical Engineering,Basketball,48,77.44,233
College 76,UK,29943,756,4085,8.794811000000001,989622,Biotechnology,Basketball,43,81.06,392
College 31,Canada,13034,14631,-1597,9.0557315,4731463,Mechanical Engineering,Volleyball,41,94.33,356
College 76,Switzerland,28396,6360,1516,8.3190785,2338157,Computer Science,Tennis,43,99.94,614
College 74,Japan,5327,13726,-8399,9.9474595,274919,Computer Science,Football,47,81.08,124
College 40,Japan,29605,8648,7297,8.949567,1459134,Chemical Engineering,Football,33,95.36,346
College 27,Singapore,13407,6754,6653,7.9002085,1140417,Physics,Tennis,20,99.23,476
College 52,Japan,12794,5431,4541,8.4959505,3791901,Chemical Engineering,Basketball,42,76.35000000000001,518
College 7,Japan,28503,10326,7366,9.623726,4427452,Business Administration,Badminton,5,80.86,390
College 46,Singapore,10610,4037,3207,7.598837,2977674,Civil Engineering,Basketball,48,74.86,366
College 100,Japan,23395,10749,12646,9.461088,1602176,Mathematics,Volleyball,30,63.53,444
College 33,Switzerland,10672,1680,595,8.819706499999999,4619413,Biotechnology,Badminton,24,90.25,376
College 91,South Africa,14930,14812,118,8.01679,973580,Physics,Football,6,90.99,208
College 8,Switzerland,22521,2533,5956,9.7596925,3959385,Mechanical Engineering,Athletics,7,79.88000000000001,328
College 5,India,4723,7797,-3074,8.6322265,3024453,Chemical Engineering,Badminton,48,68.66,487
College 61,South Africa,3790,6331,-2541,8.563348999999999,4846698,Civil Engineering,Basketball,8,85.91,276
College 72,UK,8254,10542,-2288,10.0,1450430,Physics,Volleyball,7,90.31,262
College 60,USA,5913,13932,-8019,8.663026,3086052,Civil Engineering,Swimming,23,80.89999999999999,323
College 85,China,14797,11326,3471,9.3310725,1802145,Physics,Athletics,39,86.75,375
College 24,South Africa,9359,6623,2736,9.698786,4117572,Economics,Athletics,16,79.8,514
College 7,USA,3508,701,2807,9.5133085,4426617,Mathematics,Chess,38,82.3,273
College 61,China,17802,9236,6729,8.498637,4237274,Chemical Engineering,Basketball,38,74.75999999999999,396
College 83,South Africa,27040,9252,7812,8.1163295,232659,Electrical Engineering,Cricket,13,92.75,567
College 95,Japan,19103,14832,1238,6.583902,667804,Computer Science,Volleyball,40,74.37,676
College 36,Australia,27651,9697,11244,8.1670075,3554015,Business Administration,Badminton,23,85.64,770
College 27,Switzerland,3146,12903,-9757,10.0,4601002,Civil Engineering,Athletics,5,63.4,409
College 29,Switzerland,8254,12108,-3854,8.227717499999999,215435,Economics,Football,43,98.94,222
College 87,Singapore,17910,4135,7404,9.3857255,3411451,Economics,Basketball,45,94.09,293
College 20,Singapore,7279,5745,1534,9.5685015,3457003,Civil Engineering,Athletics,0,79.57,554
College 70,Japan,12278,10282,1996,9.411949,4543898,Mechanical Engineering,Athletics,41,90.24,385
College 76,South Africa,19624,6857,7547,9.5812615,4142523,Chemical Engineering,Basketball,33,97.08,587
College 76,China,15626,9400,6226,9.1553325,4390665,Physics,Volleyball,36,99.04,594
College 3,India,13345,14811,-1466,9.367597,1355194,Economics,Volleyball,11,84.61,387
College 39,Canada,28211,8817,8278,6.8516580000000005,1123316,Computer Science,Volleyball,24,83.82000000000001,488
College 99,Canada,20878,9123,6025,9.7893195,2858639,Electrical Engineering,Swimming,2,96.71,366
College 83,Switzerland,2376,11746,-9370,8.1029525,625905,Chemical Engineering,Volleyball,44,100.0,477
College 45,Australia,11004,2976,7125,6.2824065,944813,Civil Engineering,Athletics,3,79.03999999999999,587
College 68,UK,25926,1167,10271,10.0,3405316,Mechanical Engineering,Tennis,21,76.69,403
College 31,Canada,13219,7984,5235,10.0,3704000,Civil Engineering,Cricket,9,99.96,547
College 38,Switzerland,14482,5409,9073,7.8149035,1849807,Mathematics,Swimming,30,73.15,411
College 97,Canada,19089,14527,585,8.6413425,1262685,Computer Science,Athletics,1,60.96,488
College 6,USA,12474,4379,8095,7.6745605,1189121,Mathematics,Athletics,11,87.92999999999999,502
College 8,Canada,15497,1222,2284,9.4417065,4743413,Business Administration,Tennis,3,80.02,238
College 28,Switzerland,12244,6386,4713,8.766776,2913552,Chemical Engineering,Swimming,48,84.48,520
College 15,Australia,19064,10444,3528,6.342512,265024,Mathematics,Chess,22,67.9,542
College 95,South Africa,28105,1925,1931,8.297702000000001,1715404,Mechanical Engineering,Swimming,2,81.44,495
College 8,Canada,26920,12128,4261,9.0529605,885921,Biotechnology,Football,9,61.31,426
College 54,Japan,23424,1634,1755,9.562709,4305418,Mathematics,Tennis,36,90.75,486
College 6,Japan,17226,723,6939,7.913661,1247322,Mechanical Engineering,Athletics,19,66.71000000000001,446
College 29,South Africa,6305,8388,-2083,9.8907975,3281595,Mechanical Engineering,Chess,7,98.43,319
College 34,Canada,28360,5672,8615,7.952628000000001,2945256,Computer Science,Badminton,18,89.24,628
College 7,Singapore,13237,12439,798,8.7233695,1166739,Electrical Engineering,Athletics,14,67.54,585
College 40,South Africa,4829,9132,-4303,8.334408,2708816,Economics,Chess,9,97.5,192
College 74,Australia,16877,6869,10008,9.6600435,3500087,Mechanical Engineering,Athletics,9,77.17,618
College 13,Japan,7961,12768,-4807,7.7584835,236967,Chemical Engineering,Cricket,26,80.13,533
College 62,China,8443,5653,2790,7.230746499999999,1201493,Business Administration,Football,29,71.60000000000001,470
College 86,Switzerland,7141,2482,4659,8.842315000000001,3304630,Civil Engineering,Athletics,21,100.0,389
College 85,South Africa,12132,7248,4884,8.00243,604860,Mathematics,Cricket,12,95.8,353
College 65,India,26946,3363,1522,9.559563,4819126,Electrical Engineering,Volleyball,37,78.54,361
College 41,South Africa,23922,13736,1361,8.8569155,4033831,Chemical Engineering,Volleyball,38,70.1,525
College 42,China,23350,7692,9500,10.0,4566248,Business Administration,Volleyball,10,94.86,410
College 66,Japan,16259,10301,5958,8.9660715,4072143,Civil Engineering,Football,34,100.0,562
College 93,South Africa,10844,12466,-1622,9.0888665,4477733,Mechanical Engineering,Chess,20,90.21,486
College 11,Japan,23629,12668,4886,8.092192,624384,Civil Engineering,Badminton,29,68.55000000000001,427
College 50,Switzerland,12509,4450,8059,9.8912245,1802449,Mathematics,Badminton,6,78.69,235
College 71,Switzerland,23463,8005,6860,8.235449000000001,510898,Civil Engineering,Badminton,46,65.6,732
College 35,South Africa,23669,14858,4537,8.774093500000001,3248187,Electrical Engineering,Tennis,49,81.16000000000001,396
College 94,Japan,4652,2361,2291,7.9827635,2025527,Economics,Football,40,100.0,415
College 80,Switzerland,29398,7832,1691,8.2753835,1670767,Chemical Engineering,Cricket,36,100.0,570
College 79,Japan,20657,5482,11457,9.6699525,2779905,Mathematics,Badminton,31,89.63,675
College 20,Singapore,19509,626,1534,9.985916,2671832,Electrical Engineering,Badminton,36,72.00999999999999,460
College 28,India,25310,3259,1042,10.0,1156814,Civil Engineering,Swimming,24,66.48,447
College 37,Japan,3041,12478,-9437,9.578505,1057010,Electrical Engineering,Swimming,28,77.92,251
College 3,Singapore,8393,9431,-1038,9.3347715,829543,Biotechnology,Badminton,23,89.96,549
College 93,India,26808,1915,6161,10.0,3310886,Business Administration,Football,32,98.37,410
College 59,China,23043,10108,3657,10.0,4648574,Chemical Engineering,Badminton,4,75.21000000000001,403
College 73,India,17421,5005,12416,10.0,3430593,Biotechnology,Badminton,2,62.3,539
College 27,Japan,8518,10274,-1756,8.42695,4633900,Physics,Chess,17,81.68,531
