ITEM_ID,ITEM_DESC,START_DATE,END_DATE,PRICE,ITEM_CLASS,ITEM_CATEGORY
6K9HEIVT,Item IPRF0,2015-08-03,2017-01-10,454.69,Clothing,Skincare
VHRIXSLD,Item KORR3,2017-02-10,2019-03-08,456.74,Clothing,Skincare
YW3L6XUR,Item QFX5P,2022-11-14,2024-11-28,165.15,Clothing,Gadgets
QGKWTMG9,Item QT1DH,2000-06-14,2001-10-15,376.52,Books,Gadgets
0UVDIV4J,Item JZJJW,2023-02-10,2025-01-11,13.00,Clothing,Literature
JEG5ZWBZ,Item 4OV9Q,2024-12-23,2025-07-16,153.95,Clothing,Skincare
LJ8C2YGM,Item G71SP,2016-12-05,2018-02-01,255.79,Electronics,Skincare
S3LXQ7IX,Item C79HO,2003-07-07,2004-06-18,448.55,Home,Apparel
3DYVU8NB,Item GMZLB,2012-01-25,2013-03-14,79.27,Electronics,Furniture
AQPDFR7H,Item 3K3GL,2021-11-27,2023-11-23,125.09,Books,Literature
40R2HWRA,Item W5HT3,2000-06-27,2001-03-10,309.17,Books,Gadgets
46KHDN3S,Item VGM71,2019-03-09,2021-04-26,164.34,Clothing,Gadgets
RBYD1XC9,Item 0WD0I,2022-08-12,2023-04-08,495.29,Home,Furniture
Y2OJIAM9,Item PBURJ,2005-07-16,2007-06-13,236.54,Books,Gadgets
Z905P8RD,Item 22W5C,2011-03-13,2013-11-09,200.10,Beauty,Apparel
KSSV7R8F,Item V5C2M,2008-09-10,2009-06-02,231.62,Beauty,Apparel
FZSF1G6C,Item KHGGN,2008-06-02,2010-12-03,218.26,Books,Skincare
UN5PVKB7,Item 5C3JM,2015-07-27,2017-03-17,403.30,Clothing,Apparel
OGJY2SOW,Item N72GE,2007-03-21,2009-09-03,117.40,Beauty,Skincare
KYYWRC7S,Item 0L7YK,2014-01-08,2015-03-15,17.76,Clothing,Furniture
XOS2H60I,Item K4BX4,2009-02-03,2011-10-15,461.67,Clothing,Literature
URAQL97N,Item KBQUI,2000-07-12,2001-12-14,76.21,Beauty,Furniture
HG9NB5SP,Item JGTIG,2019-06-21,2020-02-11,387.31,Home,Literature
6O1KFB4D,Item 5SOEK,2011-12-25,2012-02-06,277.33,Home,Skincare
VYPLK4HZ,Item VF9U0,2001-04-28,2002-09-04,228.31,Home,Apparel
7WNL4SVV,Item 97GU4,2020-12-13,2021-05-07,424.90,Home,Gadgets
EHUMWPGB,Item AWXIR,2012-10-05,2013-11-05,320.08,Home,Apparel
HRHTQV9P,Item FQKQE,2008-07-25,2010-05-13,482.54,Books,Apparel
R2958YG3,Item 1CNTZ,2008-08-15,2010-10-31,174.59,Home,Apparel
5FL3AOTT,Item H2GNI,2013-06-04,2015-08-22,238.14,Clothing,Furniture
P1WTOR5N,Item DV8SR,2010-01-18,2012-06-06,360.12,Beauty,Apparel
QH8H96G3,Item QKPU5,2006-09-26,2008-07-12,113.52,Books,Skincare
ZZ6IO8TS,Item GMMLU,2022-10-19,2023-05-16,101.93,Clothing,Gadgets
FOVWDQKZ,Item TNWF2,2001-07-03,2003-06-12,482.09,Clothing,Skincare
YS47N2U8,Item XX4NA,2022-09-28,2023-04-20,475.52,Beauty,Apparel
FQMG8FJ5,Item 3N8LE,2009-11-02,2010-01-19,363.61,Clothing,Literature
Y5K7AVGG,Item EF7R7,2017-05-22,2018-02-07,130.97,Clothing,Furniture
Q6GKUYP0,Item H0KRU,2016-07-09,2017-03-17,477.26,Clothing,Apparel
ELN2WWS7,Item ONL7N,2007-03-18,2009-05-23,302.56,Clothing,Skincare
7R5G3VUJ,Item RISR2,2017-03-30,2018-03-02,369.90,Clothing,Apparel
UXEQS2QR,Item ZSBN7,2000-02-17,2001-09-08,355.01,Books,Literature
AMGCOE4W,Item PNFHN,2014-11-07,2015-08-21,359.84,Home,Gadgets
WI5GIHLE,Item I6MK3,2013-05-11,2014-08-19,454.28,Electronics,Apparel
V6P6Q8UW,Item 63FKY,2010-09-18,2011-05-11,62.77,Books,Gadgets
IUIVPQ4Q,Item RLQBD,2003-03-22,2005-09-01,179.52,Clothing,Gadgets
B3VOF39S,Item UWQ90,2020-05-24,2022-09-19,224.85,Books,Gadgets
NLMDXDW0,Item MLDV7,2012-09-16,2014-09-11,297.84,Electronics,Literature
MC5UXFDY,Item MKJG8,2022-01-22,2023-01-03,417.95,Electronics,Skincare
MAPMMEP9,Item JWJZ1,2024-08-07,2026-11-23,321.43,Electronics,Gadgets
UR8Y0SFC,Item CF00E,2010-08-05,2011-06-09,63.34,Home,Gadgets
EAH5L64L,Item PTEI4,2007-08-10,2008-12-12,172.98,Home,Apparel
EZR5NERF,Item W34J2,2005-05-30,2006-05-04,61.43,Clothing,Skincare
QMM44EI7,Item 7YLJE,2009-07-11,2011-12-20,237.64,Home,Furniture
RMRVZTEK,Item AWMIP,2007-05-10,2008-05-07,71.61,Books,Skincare
MN0E29J1,Item 2N41X,2013-04-23,2014-05-10,57.10,Beauty,Gadgets
3MUH9YWN,Item 5TUE2,2014-06-23,2015-01-10,492.15,Beauty,Gadgets
NVJSP9C9,Item 7W5ZA,2015-06-08,2016-10-31,166.58,Clothing,Furniture
L5IB98MJ,Item C4OY9,2019-11-01,2020-12-22,133.93,Home,Skincare
08N1W4NC,Item OSUK3,2013-11-18,2015-04-02,295.71,Beauty,Furniture
DLP4SS56,Item NSZEB,2019-08-30,2021-08-02,447.50,Clothing,Literature
XEZOFHGH,Item 1GLPY,2009-05-12,2011-05-16,311.13,Clothing,Skincare
1KRGEL5B,Item 1X4RI,2004-10-18,2006-07-06,44.63,Electronics,Literature
UO0JDDKQ,Item 3PA5O,2019-09-11,2020-04-06,341.32,Home,Gadgets
8MUPBTPS,Item 3FKZJ,2017-09-17,2018-07-25,200.04,Books,Literature
HVSBEFHN,Item 13JKW,2011-09-06,2013-02-24,123.72,Clothing,Apparel
N8NDT75V,Item YVWL4,2007-11-29,2008-04-22,75.09,Electronics,Literature
R3VRX69N,Item TODYM,2006-01-18,2008-05-20,410.85,Electronics,Apparel
TJC3R6CP,Item IZYDP,2008-04-02,2009-06-09,188.94,Beauty,Apparel
0Y0DKRMK,Item TDOZ5,2004-12-08,2005-01-19,46.34,Home,Literature
3KCIDLI5,Item MF40L,2019-07-24,2021-10-29,223.47,Books,Skincare
7BKACEAG,Item 9UX4B,2023-09-13,2025-08-16,43.31,Home,Skincare
FCA8ZTLI,Item 396BQ,2009-03-01,2010-02-14,156.93,Electronics,Literature
B2KCYV7F,Item A1TN5,2017-03-25,2018-01-30,129.58,Beauty,Gadgets
43KRES8R,Item SBH15,2003-07-01,2005-04-23,256.60,Clothing,Literature
NH182I9A,Item RNSE3,2013-07-08,2015-05-19,139.46,Clothing,Apparel
8PLKH8ZR,Item MLJH3,2003-08-11,2005-07-25,359.88,Beauty,Gadgets
07HN4XQD,Item GV2VM,2005-06-02,2006-01-19,295.54,Clothing,Literature
EW9SFLAQ,Item QHK87,2010-07-18,2012-10-10,208.58,Beauty,Literature
IDJQHQGF,Item 47QCD,2009-03-22,2011-05-31,311.79,Books,Gadgets
VTIQBVOA,Item J6ZOV,2023-09-30,2025-10-29,265.88,Electronics,Furniture
LULEIQWP,Item HR7GT,2016-02-09,2017-07-26,461.80,Home,Apparel
EEWKIS6Y,Item RX4KI,2002-08-02,2004-12-04,483.26,Beauty,Gadgets
PFOPK8MT,Item 1KIGH,2020-12-13,2021-10-12,19.59,Clothing,Furniture
R4BP4ZGB,Item Y8T5P,2001-04-01,2003-01-17,473.63,Clothing,Literature
GRMYW256,Item 6KSQA,2007-08-30,2009-06-10,199.69,Books,Literature
IBXJ22JF,Item RT0TE,2015-11-30,2017-11-04,324.81,Clothing,Gadgets
UOE7DBCJ,Item 933Y4,2019-03-20,2021-03-15,90.21,Books,Apparel
VHNMY4N0,Item LQ5VV,2006-03-12,2008-10-06,354.12,Beauty,Gadgets
0MGK099L,Item R6ZBK,2022-09-18,2024-11-10,409.48,Books,Skincare
LADYAJ82,Item TUBDQ,2017-02-20,2018-02-21,104.00,Books,Furniture
EQ19T0VT,Item ESMUJ,2022-09-17,2024-08-12,426.71,Beauty,Literature
GEN551J1,Item AHLIT,2004-10-28,2006-05-08,124.38,Clothing,Skincare
MK0PF833,Item G0W0F,2000-04-24,2001-03-18,239.59,Home,Literature
PAPVMXSO,Item CBMZE,2020-05-26,2021-04-17,126.52,Electronics,Gadgets
4RUI8WM6,Item WALGJ,2024-11-27,2025-12-17,142.18,Home,Gadgets
HARCPQLJ,Item QUCKI,2021-08-26,2023-04-09,442.39,Home,Apparel
Q1UAZ04I,Item X1R2E,2003-02-12,2005-03-10,371.03,Home,Apparel
DF14FHTO,Item 3EZWD,2010-01-27,2012-10-07,294.44,Electronics,Apparel
9HXCW79P,Item IE9ZT,2010-09-12,2011-03-30,362.04,Clothing,Furniture
WVA12CJC,Item 9NQFU,2000-05-09,2001-06-24,411.93,Home,Literature
ONIC0H10,Item 6P8PQ,2018-03-26,2019-05-20,347.10,Beauty,Furniture
RQ14KW2P,Item EFQW1,2009-02-05,2010-09-24,248.01,Clothing,Furniture
7AOFGHO3,Item PLO5S,2003-07-03,2005-08-27,237.34,Home,Apparel
FLV9MYTU,Item L3XO4,2009-01-28,2010-10-15,133.56,Home,Gadgets
HRUMD0PE,Item W781Z,2021-03-13,2022-11-18,457.85,Home,Gadgets
XXO5IOO8,Item JLNIS,2003-09-16,2005-07-25,180.39,Beauty,Furniture
XQG8G2CY,Item K9H1I,2020-06-27,2022-10-28,184.72,Books,Skincare
HDIINQJD,Item JO5D5,2022-01-22,2024-01-24,178.04,Home,Skincare
WKPOHJ4A,Item 2UYBQ,2024-09-01,2026-09-22,380.30,Clothing,Gadgets
RTSHSPUK,Item 2TPBG,2002-11-18,2004-05-24,475.28,Home,Furniture
3MGF0JTM,Item 6AJJU,2018-08-21,2020-07-29,309.59,Electronics,Literature
ED6R7UCC,Item NOVLR,2024-03-23,2026-08-08,486.60,Electronics,Furniture
PBDCLBXS,Item Z73OZ,2010-03-28,2012-07-29,89.10,Home,Skincare
MFJJ3YYV,Item XEY2W,2012-04-13,2014-11-23,208.96,Electronics,Skincare
DIQ03H1J,Item 0Z8BO,2014-06-30,2015-09-30,38.20,Books,Apparel
FWSXTMV8,Item FAV9U,2008-08-13,2010-05-03,475.30,Books,Gadgets
YILIJZKY,Item MQDWT,2008-11-28,2010-08-06,13.85,Books,Skincare
AHU4BPIK,Item YTRRU,2021-08-20,2023-05-07,208.09,Beauty,Apparel
QSM4HJ7I,Item 8NDHY,2008-09-27,2010-08-06,226.45,Books,Gadgets
SZWIL1CN,Item U54M8,2003-06-25,2005-06-01,382.76,Books,Literature
33B9F7DW,Item T0XCK,2020-03-17,2021-08-04,130.25,Clothing,Literature
VR33GQ8S,Item 10LXN,2014-06-15,2016-10-27,27.69,Beauty,Skincare
AUL96O50,Item KLTUN,2004-12-27,2005-09-24,110.83,Home,Apparel
8ZZ8USI9,Item S2QT6,2013-11-19,2015-06-02,495.28,Electronics,Skincare
ZOCTI86E,Item 0N7XL,2011-12-17,2013-03-22,38.31,Home,Gadgets
EAO2R65I,Item C42HJ,2000-07-08,2002-10-14,81.71,Beauty,Furniture
4XWFZ6FW,Item G58MN,2021-07-22,2023-08-07,361.28,Beauty,Skincare
IZ438U8F,Item 9KNWY,2005-12-04,2006-11-01,108.13,Electronics,Gadgets
G55WTH59,Item WFB5Q,2021-06-02,2022-09-26,322.87,Clothing,Skincare
B3940A38,Item NZPX3,2019-10-19,2020-04-20,39.76,Home,Furniture
BCK608Y9,Item HJN8Y,2003-10-25,2005-06-05,116.55,Electronics,Literature
JUNXT27M,Item PC8UL,2014-02-15,2016-10-30,458.83,Clothing,Furniture
A9Y0X8Z7,Item BFDFW,2019-04-11,2021-03-18,386.77,Books,Furniture
KLW63TRB,Item XITPD,2013-01-25,2014-05-04,124.62,Clothing,Furniture
0NYEAAFZ,Item JMMUE,2006-04-28,2007-07-30,499.27,Electronics,Apparel
PIWG06U9,Item 0IJ6C,2010-08-04,2011-10-04,132.50,Home,Skincare
JN05133T,Item 63SL7,2021-12-21,2022-07-13,425.14,Electronics,Skincare
4G3LU40I,Item E1JAV,2012-03-25,2014-10-22,255.62,Home,Gadgets
VPWG2CWR,Item E3VAY,2018-04-10,2019-04-14,331.09,Clothing,Gadgets
1JY7YVQ8,Item A99VC,2012-01-23,2014-09-25,248.58,Electronics,Furniture
UW1UM3OK,Item 7WF6T,2005-02-15,2006-07-27,486.36,Electronics,Skincare
YG2KBS7X,Item 4U4OM,2023-09-02,2025-04-29,113.56,Books,Apparel
R01VD3LZ,Item NDKC1,2009-04-08,2010-10-27,343.94,Clothing,Skincare
2AM74WCI,Item RAZ3V,2004-05-12,2006-07-21,51.60,Clothing,Skincare
6UQH97FX,Item Y9H58,2017-09-28,2018-11-05,299.51,Books,Furniture
EDZPEO8P,Item 95R3L,2013-06-11,2014-05-02,464.21,Books,Furniture
ZQHXUW5K,Item 0WBE5,2004-01-14,2005-07-26,341.02,Beauty,Apparel
XW5NHU9L,Item VDCOA,2003-10-11,2004-10-02,119.01,Clothing,Furniture
3OV8SNOE,Item 7045A,2003-09-12,2005-12-18,314.86,Books,Gadgets
JNTGI7MK,Item CBEFU,2007-01-19,2008-05-18,45.02,Clothing,Apparel
2IZA0J6B,Item FMM30,2014-06-02,2015-03-14,276.89,Electronics,Apparel
A4UBFBLE,Item NOQ6E,2008-11-30,2009-03-20,89.16,Clothing,Literature
K6D2XG3U,Item R28XC,2011-04-19,2013-06-24,407.36,Beauty,Skincare
E4W556DC,Item RNWB3,2004-03-28,2006-01-14,285.84,Beauty,Gadgets
Z9ZIX5NP,Item BNSXO,2013-02-17,2015-04-02,432.61,Clothing,Literature
LAOHV4FM,Item 4X65O,2024-10-04,2025-12-13,263.90,Clothing,Furniture
5QX6580M,Item NAMBP,2004-11-04,2006-11-10,283.99,Beauty,Apparel
V4WIUFGL,Item 9CAF3,2010-12-25,2012-08-21,318.32,Clothing,Skincare
K1NSO8TT,Item 93PDV,2010-03-19,2011-08-04,114.77,Beauty,Apparel
YA2KKQEX,Item C560M,2005-11-19,2006-10-07,330.67,Books,Skincare
IHALCGIA,Item F2P95,2011-08-15,2013-11-06,235.13,Books,Gadgets
4EVQGHOQ,Item SQLZM,2010-01-12,2012-02-22,498.47,Books,Furniture
J43QZMDN,Item YY7LP,2006-03-09,2008-12-11,43.57,Books,Apparel
A1Q3F0MQ,Item SKRY1,2015-03-21,2017-09-21,111.80,Home,Apparel
YXGIGPOR,Item 20LO3,2014-01-04,2016-01-05,362.97,Books,Apparel
H82NMHB4,Item 6TGQZ,2005-02-26,2006-12-29,139.56,Home,Gadgets
7W848UFT,Item 3TZV9,2023-04-07,2024-10-05,204.67,Books,Furniture
6I7BSIOB,Item ZNQZF,2000-07-25,2001-04-21,88.15,Books,Furniture
KTVUVHNV,Item YUON6,2016-12-16,2018-07-27,337.28,Books,Gadgets
HWCLN7CG,Item 9KPUL,2022-07-29,2024-03-05,315.76,Books,Skincare
V1KR4IHY,Item FE7FD,2000-05-11,2001-03-24,101.37,Home,Gadgets
NLT5III8,Item 3CU5X,2000-01-09,2002-03-21,222.51,Home,Skincare
BURJQQ9Q,Item Z2WMB,2024-10-02,2026-01-07,289.84,Beauty,Gadgets
B5LYCHSN,Item PMS1V,2017-11-29,2019-07-16,418.95,Electronics,Apparel
WOH5SKIN,Item 0BYSJ,2014-01-23,2015-01-18,323.02,Books,Literature
2LO0LSRX,Item BPIH9,2024-06-08,2025-08-18,13.71,Electronics,Gadgets
404PIVLL,Item ZVGMY,2001-08-17,2003-01-24,67.97,Electronics,Gadgets
S12SB5MR,Item 5O80A,2021-03-06,2022-02-26,422.58,Home,Gadgets
2VXS11FN,Item IFA5M,2001-03-27,2003-09-23,445.21,Books,Skincare
FFJ9G55Q,Item DTSP1,2005-10-11,2006-03-21,258.89,Electronics,Gadgets
Q3C20PVQ,Item C8031,2021-04-17,2023-11-19,117.84,Books,Apparel
2EHV12G0,Item QOH6W,2024-09-09,2026-06-25,245.16,Home,Apparel
XVPTN32Z,Item TF5V6,2011-02-14,2012-10-24,12.73,Home,Skincare
JONVAD63,Item 1VIXX,2023-10-30,2024-11-02,462.08,Electronics,Literature
O3HXV0J5,Item 0AMMI,2024-08-01,2025-02-27,227.51,Electronics,Apparel
LGGBW6QS,Item GRK9N,2018-10-21,2020-10-30,311.69,Electronics,Skincare
EEMNO4E1,Item AVCMF,2014-08-08,2016-04-09,354.35,Beauty,Apparel
KZWNP4SP,Item GYG30,2000-07-20,2001-11-09,479.13,Electronics,Gadgets
E74JN7SJ,Item 3T8T2,2019-08-21,2020-08-07,37.05,Electronics,Gadgets
AQ65ZVG1,Item BE6P7,2000-06-21,2002-02-08,91.52,Clothing,Skincare
5C0WJXXP,Item YWIEF,2023-07-16,2025-08-13,261.55,Books,Skincare
ATS7UPPD,Item 3Z26I,2011-07-01,2013-09-01,322.44,Home,Apparel
PF0N0NOT,Item HG15E,2024-05-09,2025-06-13,79.57,Electronics,Literature
HMZX6P9N,Item L0LCM,2022-01-05,2024-06-15,493.43,Home,Gadgets
FKCO2CEJ,Item K8KBH,2010-06-13,2012-01-27,335.62,Beauty,Gadgets
0RRI9EHL,Item OG7V7,2002-02-23,2003-07-22,358.64,Beauty,Skincare
4QHIRDYL,Item 6RTKB,2007-10-28,2008-09-14,210.84,Books,Apparel
AZXUP3K7,Item XVSUR,2005-04-04,2007-03-04,120.31,Books,Gadgets
NTPUKHVG,Item EE3ZY,2024-01-25,2025-05-23,412.55,Beauty,Gadgets
91GNGB6P,Item 1GO96,2014-10-16,2016-12-01,280.35,Clothing,Literature
