ITEM_ID,ITEM_DESC,START_DATE,END_DATE,PRICE,ITEM_CLASS,ITEM_CATEGORY
RZDNEEFA,Item R013Q,2013-11-08,2014-10-21,151.93,Clothing,Gadgets
MNLQGFF7,Item PB2KH,2010-04-22,2011-07-20,48.76,Books,Literature
B6F7UUOW,Item MNBM9,2014-08-28,2015-10-09,160.38,Electronics,Furniture
VHXWZA94,Item ZHM4I,2002-01-30,2003-02-03,31.31,Electronics,Literature
Y67LJUKV,Item 2GFT3,2007-12-28,2009-12-09,38.02,Home,Furniture
2C7Z5OPD,Item LQCH2,2023-08-17,2024-11-10,487.15,Books,Gadgets
S0QCMCUR,Item 7AT5K,2015-09-25,2017-04-18,498.89,Home,Apparel
4OBNXO8C,Item E9UTI,2024-03-12,2026-02-19,381.74,Books,Gadgets
3TN2OFE7,Item XK3HK,2010-07-07,2011-03-06,281.90,Electronics,Gadgets
2S38E0BF,Item 2ZYBG,2007-02-20,2008-09-29,79.68,Clothing,Apparel
VNJWV1LC,Item J4M44,2019-06-11,2020-02-24,187.87,Home,Gadgets
IWD82Y6N,Item 9GWBI,2002-06-03,2003-01-11,122.19,Books,Literature
9G94YTVG,Item 54MV9,2013-06-15,2014-10-02,315.77,Books,Gadgets
NE9081MW,Item 18SJH,2020-11-27,2022-01-04,394.42,Books,Skincare
Y32CGEO1,Item TPLGJ,2002-12-16,2003-11-02,132.02,Home,Literature
98NHCPMD,Item GVWMP,2021-04-27,2023-02-04,99.78,Home,Literature
EBUP2H6S,Item GMOAO,2002-01-20,2003-11-17,105.11,Books,Gadgets
FPMLW75V,Item JBPEG,2014-10-11,2015-05-19,31.38,Clothing,Furniture
W08CBE7X,Item MUUU6,2015-10-19,2016-10-26,71.67,Home,Gadgets
LM6Q1IX0,Item ROM70,2014-09-16,2016-06-06,12.06,Home,Furniture
THSMMHMA,Item T4X4U,2002-06-16,2004-03-01,414.00,Beauty,Literature
3C2RTDWJ,Item NRH84,2011-06-05,2012-10-11,38.07,Electronics,Gadgets
LD9MA94T,Item H6W3R,2017-01-23,2019-08-27,79.02,Clothing,Apparel
CMLR5BBY,Item LHV11,2003-07-15,2004-05-03,364.09,Home,Gadgets
GZBZCEYY,Item ZLSRN,2022-06-12,2023-03-24,260.06,Home,Furniture
5KA0N06B,Item RWFAZ,2017-06-29,2018-01-01,138.17,Beauty,Literature
P25WM58C,Item 8OYOV,2020-08-17,2022-05-05,321.52,Home,Literature
KO53QYK5,Item CN7F9,2003-10-31,2005-04-25,196.59,Clothing,Literature
S8F9XGV4,Item HKZS0,2005-07-15,2006-01-28,29.45,Home,Apparel
N8PCSSBH,Item 9WIO1,2000-10-22,2001-12-06,474.44,Electronics,Skincare
2CGWNMVB,Item FUUO2,2002-08-15,2003-10-03,106.67,Home,Literature
M7LVCMZB,Item UL9YF,2010-10-05,2011-07-31,378.86,Books,Skincare
5M78ER1L,Item DEYWS,2000-11-22,2001-01-13,200.17,Home,Apparel
QS4OEZ3R,Item DDAZF,2009-12-21,2011-08-01,44.39,Electronics,Skincare
LJ3ZMKUK,Item YQYXN,2009-07-22,2011-04-06,492.06,Beauty,Furniture
BOUEUARV,Item 4P674,2018-05-28,2019-12-02,460.22,Clothing,Gadgets
M0XMGLGV,Item 35E1B,2004-08-31,2005-06-22,97.18,Home,Skincare
1EVHN209,Item DUVRN,2008-02-27,2010-01-05,450.81,Beauty,Furniture
1ETLD9EG,Item BIHFH,2018-03-12,2019-08-19,202.17,Electronics,Gadgets
1AID2IY8,Item A42RU,2010-11-04,2012-01-27,95.65,Books,Furniture
UBLL7VM1,Item 0P0FT,2019-01-23,2021-07-22,193.33,Books,Furniture
