ITEM_ID,ITEM_DESC,START_DATE,END_DATE,PRICE,ITEM_CLASS,ITEM_CATEGORY
GWA1BUVW,Item ASW8X,2008-03-19,2010-05-09,324.02,Beauty,Literature
IXFQVLF1,Item SC253,2016-08-06,2018-12-28,281.07,Clothing,Furniture
Q27O51EE,Item F3BEV,2014-09-04,2016-06-01,469.89,Books,Literature
E5DIBQIH,Item TGJYI,2022-09-06,2023-07-23,62.04,Electronics,Apparel
Y6KL7BO4,Item F16U8,2005-03-17,2007-09-10,41.34,Clothing,Apparel
UHRX07J3,Item DQCSV,2000-08-10,2002-06-26,418.14,Electronics,Gadgets
J4D03007,Item 88EVE,2014-03-03,2015-01-17,134.28,Clothing,Skincare
RO8HFR5Y,Item RE5S1,2000-02-05,2001-07-14,104.21,Home,Gadgets
J9TAJAEL,Item ROOS2,2021-03-08,2023-09-01,310.66,Electronics,Gadgets
H0CSBTNF,Item X1DLO,2020-04-06,2021-08-05,389.76,Clothing,Literature
CZZ1Q92A,Item TJY45,2022-11-14,2023-06-18,459.62,Electronics,Gadgets
5O5JQ68L,Item PUFW1,2010-03-28,2012-11-22,327.02,Home,Skincare
OSHLLVD3,Item D1HAC,2000-06-27,2001-10-27,167.16,Books,Furniture
SR4ABCZX,Item S5MPH,2007-02-24,2009-02-27,493.57,Home,Apparel
N1ZLKVCX,Item WGU2G,2017-11-03,2018-04-19,111.71,Home,Skincare
0R1SX9HR,Item 17XJG,2006-12-21,2007-06-26,453.78,Clothing,Gadgets
WSHL7PFW,Item 6WR01,2007-02-19,2009-11-23,157.42,Books,Apparel
34QCYVRK,Item ZDVWG,2020-04-03,2022-02-26,474.21,Books,Gadgets
XUPYI8XH,Item GEKRK,2015-05-23,2017-10-04,450.23,Clothing,Apparel
W0V0F6HH,Item HGXIN,2014-06-29,2016-10-05,56.40,Clothing,Apparel
DM15GRNJ,Item TB1E3,2013-10-25,2014-06-08,135.26,Home,Gadgets
19VTJVYR,Item IU5DL,2022-12-11,2023-11-21,307.94,Books,Furniture
P6UWDXZP,Item 20DLN,2019-04-05,2021-11-30,485.21,Beauty,Literature
MH98Y83J,Item QHCV2,2003-02-25,2005-10-29,222.38,Home,Gadgets
639PMJE3,Item NALFN,2008-04-08,2009-03-04,272.42,Beauty,Literature
SV3C0EMA,Item CXRHB,2015-07-14,2017-02-23,64.70,Beauty,Skincare
OMEEKHDB,Item 76DMF,2000-12-26,2002-05-12,112.97,Clothing,Apparel
QQHY6CA2,Item 8YP45,2020-09-29,2021-08-23,164.20,Books,Literature
EKBO63JR,Item JRSRL,2020-04-26,2022-05-21,380.41,Clothing,Literature
PFL67LY7,Item M26TS,2012-09-01,2013-11-06,77.33,Books,Skincare
5V2M9O0P,Item O59DU,2007-05-22,2009-12-29,98.76,Electronics,Apparel
PN862ACR,Item 8B04C,2009-03-10,2011-07-30,346.31,Books,Furniture
2YHU8C56,Item I3G8I,2011-08-29,2013-12-19,227.63,Books,Apparel
YPIXZJOM,Item VF6MH,2019-10-05,2020-10-06,416.91,Electronics,Gadgets
OKZCF5DN,Item LUG6Y,2020-05-09,2021-07-16,30.56,Books,Gadgets
P3Z6CPQ6,Item A3FE6,2018-01-22,2020-05-11,272.88,Beauty,Literature
YF2H5ZN1,Item 7B416,2002-05-15,2004-05-10,247.74,Beauty,Literature
7G53H22P,Item AQ71K,2011-03-15,2012-01-16,199.25,Beauty,Skincare
S2ZMJ0Z9,Item XNRFT,2021-12-26,2023-09-10,129.65,Beauty,Apparel
T998VRLZ,Item DWCAF,2009-12-10,2010-05-31,225.94,Electronics,Gadgets
OD1TE5WY,Item XX2HZ,2008-07-01,2009-12-10,121.59,Home,Gadgets
WKIW5R3L,Item 7I72T,2015-11-14,2016-06-19,195.27,Beauty,Gadgets
EUR0Q1LB,Item EWOL1,2001-11-30,2003-12-05,284.26,Electronics,Skincare
0C0J7AA6,Item QT1FA,2006-05-06,2007-08-03,228.25,Clothing,Gadgets
XFCWX7DN,Item VVW86,2018-06-22,2019-12-21,117.75,Clothing,Gadgets
FFMQBWGX,Item YLLQ5,2013-06-28,2014-11-25,106.66,Clothing,Furniture
WEZCM7D5,Item VM920,2000-10-10,2002-11-01,224.11,Books,Literature
2DLYVZKR,Item K7NMW,2002-11-10,2003-01-20,338.71,Beauty,Apparel
UITLI1UQ,Item AS8SA,2019-02-11,2020-04-05,50.03,Books,Apparel
TC6VXK3H,Item 81DF7,2010-08-22,2011-12-30,366.96,Beauty,Apparel
SEJYX9RJ,Item YDV7W,2010-10-08,2011-03-31,57.84,Clothing,Furniture
HSI3AACM,Item PRPKJ,2002-01-28,2003-02-16,305.17,Clothing,Literature
4S8YRPON,Item QMLO5,2014-03-14,2016-02-04,383.47,Clothing,Apparel
LAKC7OUT,Item LZ8U1,2015-03-17,2017-11-29,49.66,Clothing,Literature
923JBDY4,Item KQ99C,2001-04-27,2003-04-05,340.15,Books,Literature
GLS8954T,Item 94DA4,2017-12-09,2018-09-14,77.91,Clothing,Literature
C1JUFKSC,Item 5PTE5,2018-10-23,2020-11-04,88.78,Clothing,Gadgets
V3M3U0D8,Item H3LW1,2011-08-05,2013-08-30,435.50,Home,Skincare
XZ93QQHL,Item UAKDX,2023-08-25,2024-12-18,206.80,Beauty,Gadgets
7LL4FWRX,Item 6AHJ2,2009-07-04,2011-04-30,353.38,Clothing,Gadgets
UBIMDKRK,Item 8AST7,2001-01-20,2002-04-05,291.93,Electronics,Skincare
SYZUW48Q,Item IQR9K,2002-03-19,2004-01-22,251.06,Clothing,Gadgets
HBAH3NG1,Item NAQEU,2010-05-29,2012-10-23,156.13,Books,Apparel
JI9I47A0,Item 8EZRG,2012-08-29,2014-05-22,155.26,Clothing,Gadgets
ZKSEAN7J,Item 0Y95V,2016-03-18,2017-06-23,388.35,Books,Literature
FVLBUTBF,Item R9N5V,2021-06-24,2022-09-23,91.52,Clothing,Literature
8ZMBZQZY,Item MYWYU,2018-10-20,2019-07-04,231.82,Books,Gadgets
W5NZSY19,Item ADB57,2010-03-23,2012-02-21,480.04,Home,Furniture
GALVS09R,Item 9G5B4,2010-12-30,2011-08-03,270.13,Clothing,Skincare
9TH5QINX,Item 2DLST,2016-04-06,2017-09-04,392.41,Electronics,Skincare
R73XCKRH,Item 2CQBJ,2018-11-20,2019-02-02,458.99,Electronics,Furniture
N9OG98B0,Item 5SN95,2015-08-06,2016-11-26,50.76,Clothing,Literature
LNWQBY40,Item L5XA4,2014-05-21,2016-04-28,310.15,Electronics,Gadgets
8LJ0COF4,Item CSNU1,2024-11-27,2025-06-13,311.06,Books,Gadgets
XU4YZFQ3,Item 0PZ22,2001-02-07,2003-06-19,281.74,Clothing,Furniture
ADXJI258,Item 3GEZD,2007-08-08,2008-12-20,67.21,Electronics,Furniture
JAQJ2519,Item 22JN7,2023-11-06,2024-07-01,116.32,Books,Gadgets
63XP813R,Item RTT27,2022-04-20,2023-02-07,155.85,Beauty,Furniture
4RFJLB5R,Item TW46V,2016-04-11,2017-02-21,178.62,Books,Gadgets
FWB57SSK,Item S5UWZ,2019-05-05,2021-02-21,371.71,Books,Skincare
IFCLJ2P2,Item H39PR,2023-06-23,2024-12-16,251.97,Books,Literature
V19A58RV,Item UJ8BQ,2012-01-18,2014-07-03,73.43,Home,Apparel
ARDUGKKP,Item G242B,2017-04-27,2019-06-15,469.57,Electronics,Gadgets
IQ6UNJK2,Item OBQNT,2016-12-18,2017-08-25,92.22,Clothing,Skincare
REDUBFPQ,Item BE200,2013-08-22,2015-06-20,58.31,Clothing,Literature
655472MV,Item ZQQQ6,2019-05-09,2020-10-16,369.30,Home,Literature
35EXX34K,Item K7M8Y,2003-07-26,2004-05-11,264.05,Clothing,Literature
IH1TRXRD,Item YTE8Z,2022-01-23,2023-04-30,482.52,Clothing,Literature
TNMWLXL5,Item KSOX7,2019-02-01,2020-05-24,188.29,Beauty,Apparel
CN9EZMIQ,Item FMO2M,2013-12-31,2015-04-23,217.80,Clothing,Gadgets
TO83IL90,Item 6L4JH,2003-03-18,2005-11-23,268.95,Books,Apparel
MIS1DDMU,Item JLE9P,2000-06-15,2002-01-31,11.48,Clothing,Apparel
4ZFI2DIY,Item COY6K,2013-01-27,2014-07-11,86.45,Electronics,Literature
EGBCCAEN,Item JZENE,2013-12-24,2015-06-05,388.56,Electronics,Skincare
9Y3RV9OG,Item TUBTT,2024-05-09,2026-10-25,23.06,Books,Literature
H6NKW7SI,Item TUR6N,2002-01-06,2004-02-25,284.27,Electronics,Furniture
NTYFIEZA,Item 6GVFB,2020-06-05,2022-05-09,52.98,Books,Skincare
CS940OYK,Item JOB4K,2016-02-29,2018-11-01,408.23,Beauty,Furniture
L9050T0D,Item PE7DB,2009-07-13,2010-12-25,308.03,Clothing,Gadgets
L2HZPEYT,Item GZW1H,2015-09-08,2017-08-21,180.52,Beauty,Furniture
8UPPZETZ,Item NBU84,2000-03-27,2002-12-27,381.45,Home,Gadgets
H855903Z,Item O7HXM,2004-04-16,2005-09-24,411.66,Books,Skincare
5QQKDIUT,Item CWVZJ,2016-02-27,2017-02-11,491.04,Books,Skincare
WVY1EKPU,Item A1FU3,2019-07-01,2020-03-04,187.54,Electronics,Gadgets
OKTXWRZW,Item KJ6X7,2004-10-04,2006-12-22,39.84,Home,Literature
4E1PE7DG,Item PN8UO,2016-02-19,2017-04-26,316.74,Electronics,Skincare
E909KHN0,Item U9YE8,2009-03-27,2010-01-24,475.57,Clothing,Gadgets
3LXIS8W4,Item 4Y6PH,2011-08-01,2013-09-01,251.10,Books,Skincare
H13DTDTI,Item 4X3QL,2015-02-08,2017-06-23,130.89,Home,Literature
JLPYXF4F,Item K7E50,2001-04-28,2002-06-29,179.88,Electronics,Gadgets
VC2XDJSB,Item ZFF3N,2019-04-05,2021-03-15,290.12,Electronics,Gadgets
NB06Q70M,Item FH0RR,2019-02-19,2020-12-13,270.10,Books,Furniture
ULA1BRM8,Item M31R6,2012-06-26,2013-06-01,308.30,Beauty,Furniture
