ITEM_ID,ITEM_DESC,START_DATE,END_DATE,PRICE,ITEM_CLASS,ITEM_CATEGORY
5321ISP0,Item 506Q3,2010-11-26,2011-05-10,430.49,Clothing,Furniture
OCFLCGEP,Item OQV68,2012-04-19,2013-07-25,341.30,Books,Skincare
4VNEDU2H,Item D5DFZ,2008-09-09,2009-04-17,263.64,Clothing,Apparel
J250P6SX,Item FP6NO,2000-06-08,2002-11-17,173.99,Books,Literature
10DWPHS4,Item IHXD3,2021-06-16,2023-01-18,209.21,Books,Skincare
QZBUSJN8,Item QVDDJ,2012-10-11,2014-02-27,439.19,Clothing,Literature
3KRSQ0YY,Item 3LF6D,2022-04-10,2024-02-13,214.81,Home,Gadgets
E0DLWM2T,Item SSUHU,2012-05-08,2014-05-20,255.88,Home,Furniture
9UKN5WTR,Item X3E8A,2001-09-20,2002-09-25,274.61,Beauty,Furniture
1DY1Q2E8,Item ER8TB,2023-12-29,2024-01-22,360.09,Clothing,Gadgets
SHYJT1S6,Item 0V496,2010-07-23,2011-12-08,185.80,Electronics,Literature
60KAM6X2,Item BK8W8,2010-12-22,2012-04-10,484.48,Books,Skincare
SOVJGW1C,Item OAAPG,2012-02-25,2013-01-19,491.98,Home,Apparel
VWK8G8A6,Item 5C21Y,2021-10-12,2023-08-03,66.80,Electronics,Apparel
01Z98T25,Item QG8A8,2012-11-09,2014-08-30,312.30,Clothing,Gadgets
60IY3HMS,Item JHVDZ,2007-04-11,2008-01-19,95.44,Books,Apparel
MVJBVJG6,Item G8P1Z,2021-04-12,2022-11-19,383.48,Electronics,Gadgets
AXLPVRW8,Item 2PAK9,2016-07-26,2018-12-13,308.19,Home,Literature
43OLOJ8J,Item XOKRF,2011-06-23,2013-02-09,159.60,Clothing,Furniture
Y3PWTZM7,Item 8ODIE,2010-03-01,2011-11-04,256.93,Home,Gadgets
6W3ALDNN,Item 7EOLP,2003-02-26,2005-05-12,160.80,Beauty,Literature
F5CGZTSB,Item B1YNS,2012-08-04,2014-09-19,347.00,Beauty,Gadgets
DNU4OI5A,Item W36JE,2003-04-03,2005-05-01,298.29,Electronics,Furniture
H1WUFA36,Item K4OIS,2007-10-24,2008-06-23,173.54,Books,Skincare
YK2GD4LM,Item SGALL,2007-08-13,2009-04-06,394.15,Clothing,Skincare
802DP4I4,Item B8R9X,2011-04-20,2012-10-08,216.67,Books,Gadgets
