Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta,Cumulative_Degradation,PitStop,PitNextLap,RaceProgress,Normalized_TyreLife,Position_Change
PIA,35,HARD,2,3.0,1,89.822,Miami Grand Prix,2025,-2.733000000000004,-210.43100000000004,1,0,0.4487179487179487,0.0714285714285714,0.0
PIA,36,HARD,2,4.0,1,90.201,Miami Grand Prix,2025,-2.423000000000002,-210.05200000000005,1,0,0.4615384615384615,0.0952380952380952,0.0
PIA,37,HARD,2,5.0,1,90.07,Miami Grand Prix,2025,-2.6300000000000097,-210.18300000000005,1,0,0.4743589743589743,0.119047619047619,0.0
PIA,38,HARD,2,6.0,1,90.167,Miami Grand Prix,2025,-2.495999999999995,-210.08600000000004,1,0,0.4871794871794871,0.1428571428571428,0.0
PIA,39,HARD,2,7.0,1,90.194,Miami Grand Prix,2025,-2.506999999999991,-210.05900000000003,1,0,0.5,0.1666666666666666,0.0
PIA,40,HARD,2,8.0,1,90.236,Miami Grand Prix,2025,-2.5420000000000016,-210.01700000000005,1,0,0.5128205128205128,0.1904761904761904,0.0
PIA,41,HARD,2,9.0,1,90.37,Miami Grand Prix,2025,-2.6169999999999902,-209.88300000000004,1,0,0.5256410256410257,0.2142857142857142,0.0
PIA,42,HARD,2,10.0,1,90.307,Miami Grand Prix,2025,-2.379000000000005,-209.94600000000003,1,0,0.5384615384615384,0.238095238095238,0.0
PIA,43,HARD,2,11.0,1,90.413,Miami Grand Prix,2025,-2.4579999999999984,-209.84000000000003,1,0,0.5512820512820513,0.2619047619047619,0.0
PIA,44,HARD,2,12.0,1,90.137,Miami Grand Prix,2025,-2.6779999999999973,-210.11600000000004,1,0,0.5641025641025641,0.2857142857142857,0.0
PIA,45,HARD,2,13.0,1,90.589,Miami Grand Prix,2025,-1.804000000000002,-209.66400000000004,1,0,0.5769230769230769,0.3095238095238095,0.0
PIA,46,HARD,2,14.0,1,90.653,Miami Grand Prix,2025,-2.698999999999998,-209.6,1,0,0.5897435897435898,0.3333333333333333,0.0
PIA,47,HARD,2,15.0,1,90.372,Miami Grand Prix,2025,-2.296999999999997,-209.88100000000003,1,0,0.6025641025641025,0.3571428571428571,0.0
PIA,48,HARD,2,16.0,1,90.559,Miami Grand Prix,2025,-2.168999999999997,-209.69400000000005,1,0,0.6153846153846154,0.3809523809523809,0.0
PIA,49,HARD,2,17.0,1,89.992,Miami Grand Prix,2025,-2.9350000000000023,-210.261,1,0,0.6282051282051282,0.4047619047619047,0.0
PIA,50,HARD,2,18.0,1,90.136,Miami Grand Prix,2025,-2.0919999999999987,-210.11700000000005,1,0,0.6410256410256411,0.4285714285714285,0.0
PIA,51,HARD,2,19.0,1,90.103,Miami Grand Prix,2025,-1.0360000000000014,-210.15000000000003,1,0,0.6538461538461539,0.4523809523809524,2.0
PIA,52,HARD,2,20.0,1,90.245,Miami Grand Prix,2025,-0.9559999999999887,-210.00800000000004,1,0,0.6666666666666666,0.4761904761904761,2.0
PIA,53,HARD,2,21.0,1,90.658,Miami Grand Prix,2025,-0.3810000000000002,-209.59500000000003,1,0,0.6794871794871795,0.5,2.0
PIA,54,HARD,2,22.0,1,90.269,Miami Grand Prix,2025,-5.372,-209.98400000000004,1,0,0.6923076923076923,0.5238095238095238,0.0
