Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta,Cumulative_Degradation,PitStop,PitNextLap,RaceProgress,Normalized_TyreLife,Position_Change
MSC,37,HARD,2,23.0,15,84.557,Australian Grand Prix,2022,0.8889999999999958,-134.87799999999996,0,1,0.5138888888888888,0.5,4.0
MSC,38,HARD,2,24.0,15,84.497,Australian Grand Prix,2022,0.2139999999999986,-134.93799999999996,0,1,0.5277777777777778,0.5217391304347826,4.0
MSC,39,HARD,2,25.0,13,112.519,Australian Grand Prix,2022,25.896,-107.83099999999996,0,1,0.5416666666666666,0.5434782608695652,6.0
MSC,40,HARD,2,26.0,12,90.55,Australian Grand Prix,2022,6.125999999999991,-129.79999999999995,0,1,0.5555555555555556,0.5652173913043478,6.0
MSC,41,HARD,2,27.0,12,83.801,Australian Grand Prix,2022,-0.3599999999999994,-136.54899999999998,0,1,0.5694444444444444,0.5869565217391305,6.0
MSC,42,HARD,2,28.0,12,83.392,Australian Grand Prix,2022,-1.1350000000000051,-134.67999999999995,0,1,0.5833333333333334,0.6086956521739131,5.0
MSC,43,HARD,2,29.0,12,83.599,Australian Grand Prix,2022,-0.7469999999999999,-134.47299999999996,0,1,0.5972222222222222,0.6304347826086957,5.0
MSC,44,HARD,2,30.0,12,83.993,Australian Grand Prix,2022,-0.1720000000000112,-134.07899999999995,0,1,0.6111111111111112,0.6521739130434783,5.0
MSC,45,HARD,2,31.0,13,85.292,Australian Grand Prix,2022,1.5970000000000084,-137.19299999999996,0,1,0.625,0.6739130434782609,4.0
MSC,46,HARD,2,32.0,13,83.753,Australian Grand Prix,2022,-0.2609999999999957,-138.73199999999997,0,1,0.6388888888888888,0.6956521739130435,4.0
MSC,47,HARD,2,33.0,13,83.786,Australian Grand Prix,2022,-0.4959999999999951,-138.69899999999996,0,1,0.6527777777777778,0.717391304347826,4.0
MSC,48,HARD,2,34.0,13,83.731,Australian Grand Prix,2022,-0.5230000000000103,-138.75399999999996,0,1,0.6666666666666666,0.7391304347826086,4.0
MSC,49,HARD,2,35.0,13,84.254,Australian Grand Prix,2022,0.159000000000006,-138.23099999999994,0,1,0.6805555555555556,0.7608695652173914,4.0
MSC,50,HARD,2,36.0,15,88.377,Australian Grand Prix,2022,4.068999999999988,-134.10799999999995,0,1,0.6944444444444444,0.782608695652174,2.0
MSC,51,HARD,2,37.0,15,84.152,Australian Grand Prix,2022,-0.3179999999999978,-138.33299999999997,0,1,0.7083333333333334,0.8043478260869565,2.0
MSC,52,HARD,2,38.0,15,84.517,Australian Grand Prix,2022,-1.426000000000002,-137.96799999999996,0,1,0.7222222222222222,0.8260869565217391,2.0
MSC,53,HARD,2,39.0,14,83.727,Australian Grand Prix,2022,-2.195999999999998,-138.75799999999995,0,0,0.7361111111111112,0.8478260869565217,3.0
