Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta,Cumulative_Degradation,PitStop,PitNextLap,RaceProgress,Normalized_TyreLife,Position_Change
RIC,25,HARD,2,12.0,15,97.973,Bahrain Grand Prix,2024,-1.5220000000000056,-32.99600000000001,1,0,0.3289473684210526,0.1578947368421052,4.0
RIC,26,HARD,2,13.0,15,98.029,Bahrain Grand Prix,2024,-2.152000000000001,-32.94000000000001,1,0,0.3421052631578947,0.1710526315789473,3.0
RIC,27,HARD,2,14.0,15,98.152,Bahrain Grand Prix,2024,-2.132999999999996,-32.70500000000001,1,0,0.3552631578947368,0.1842105263157894,3.0
RIC,28,HARD,2,15.0,14,98.045,Bahrain Grand Prix,2024,-2.149000000000001,-32.81200000000001,1,0,0.3684210526315789,0.1973684210526315,4.0
RIC,29,HARD,2,16.0,13,97.96,Bahrain Grand Prix,2024,-1.291000000000011,-32.89700000000002,1,0,0.3815789473684211,0.2105263157894736,3.0
RIC,30,HARD,2,17.0,13,97.978,Bahrain Grand Prix,2024,-1.585000000000008,-32.87900000000002,1,0,0.3947368421052631,0.2236842105263158,2.0
RIC,31,HARD,2,18.0,13,98.154,Bahrain Grand Prix,2024,-3.006,-32.70300000000002,1,0,0.4078947368421052,0.2368421052631578,1.0
RIC,32,HARD,2,19.0,12,98.025,Bahrain Grand Prix,2024,-1.503,-32.83200000000001,1,0,0.4210526315789473,0.25,2.0
RIC,33,HARD,2,20.0,12,98.15,Bahrain Grand Prix,2024,-1.2279999999999944,-32.70700000000001,1,0,0.4342105263157895,0.2631578947368421,2.0
RIC,34,HARD,2,21.0,12,98.246,Bahrain Grand Prix,2024,-2.315000000000012,-32.61100000000002,1,0,0.4473684210526316,0.2763157894736842,1.0
RIC,35,HARD,2,22.0,11,100.595,Bahrain Grand Prix,2024,-0.0709999999999979,-30.26200000000001,1,0,0.4605263157894737,0.2894736842105263,2.0
RIC,36,SOFT,3,1.0,16,116.995,Bahrain Grand Prix,2024,7.570000000000007,-7.469999999999999,1,0,0.4736842105263157,0.024390243902439,-5.0
RIC,37,SOFT,3,2.0,15,95.163,Bahrain Grand Prix,2024,-13.697000000000005,-29.302000000000007,1,0,0.4868421052631579,0.048780487804878,-4.0
RIC,38,SOFT,3,3.0,15,95.46,Bahrain Grand Prix,2024,-11.975000000000009,-29.00500000000001,1,0,0.5,0.073170731707317,-5.0
RIC,39,SOFT,3,4.0,15,95.475,Bahrain Grand Prix,2024,-12.604,-28.99000000000001,1,0,0.5131578947368421,0.0975609756097561,-5.0
RIC,40,SOFT,3,5.0,15,95.578,Bahrain Grand Prix,2024,-12.265,-28.887,1,0,0.5263157894736842,0.1219512195121951,-5.0
