Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta,Cumulative_Degradation,PitStop,PitNextLap,RaceProgress,Normalized_TyreLife,Position_Change
GAS,60,SOFT,3,14.0,13,83.425,Hungarian Grand Prix,2022,12.707999999999998,-19.14600000000003,0,0,0.8333333333333334,0.4117647058823529,-1.0
GAS,61,SOFT,3,15.0,13,83.717,Hungarian Grand Prix,2022,13.613,-18.854000000000028,0,0,0.8472222222222222,0.4411764705882353,-1.0
GAS,62,SOFT,3,16.0,13,83.955,Hungarian Grand Prix,2022,13.049999999999995,-18.616000000000028,0,0,0.8611111111111112,0.4705882352941176,0.0
GAS,63,SOFT,3,17.0,13,83.964,Hungarian Grand Prix,2022,13.329999999999998,-18.607000000000028,0,0,0.875,0.5,0.0
GAS,64,SOFT,3,18.0,13,86.589,Hungarian Grand Prix,2022,15.128,-15.982000000000028,0,0,0.8888888888888888,0.5294117647058824,1.0
GAS,65,SOFT,3,19.0,13,85.989,Hungarian Grand Prix,2022,15.28500000000001,-16.582000000000022,0,0,0.9027777777777778,0.5588235294117647,1.0
GAS,66,SOFT,3,20.0,12,85.187,Hungarian Grand Prix,2022,14.336,-17.38400000000003,0,0,0.9166666666666666,0.5882352941176471,2.0
GAS,67,SOFT,3,21.0,12,107.355,Hungarian Grand Prix,2022,35.25800000000001,4.783999999999978,0,0,0.9305555555555556,0.6176470588235294,3.0
GAS,68,SOFT,3,22.0,12,97.587,Hungarian Grand Prix,2022,26.790000000000006,-4.984000000000023,0,0,0.9444444444444444,0.6470588235294118,3.0
GAS,69,SOFT,3,23.0,12,89.072,Hungarian Grand Prix,2022,18.436000000000007,-13.499000000000024,0,0,0.9583333333333334,0.6764705882352942,3.0
HAM,1,MEDIUM,1,1.0,5,92.536,Hungarian Grand Prix,2022,-12.885000000000003,-53.68700000000001,0,0,0.0138888888888888,0.024390243902439,-2.0
HAM,2,MEDIUM,1,2.0,5,114.827,Hungarian Grand Prix,2022,15.510999999999996,-21.578000000000017,0,0,0.0277777777777777,0.048780487804878,-2.0
HAM,3,MEDIUM,1,3.0,5,89.528,Hungarian Grand Prix,2022,-10.092,-26.28200000000001,0,0,0.0416666666666666,0.073170731707317,-2.0
HAM,4,MEDIUM,1,4.0,5,84.265,Hungarian Grand Prix,2022,-14.801000000000002,-31.545000000000016,0,0,0.0555555555555555,0.0975609756097561,-2.0
HAM,5,MEDIUM,1,5.0,5,84.348,Hungarian Grand Prix,2022,-15.260000000000003,-31.462000000000018,0,0,0.0694444444444444,0.1219512195121951,-2.0
HAM,6,MEDIUM,1,6.0,5,84.628,Hungarian Grand Prix,2022,-15.150999999999996,-31.182000000000016,0,0,0.0833333333333333,0.1463414634146341,-2.0
HAM,7,MEDIUM,1,7.0,5,84.392,Hungarian Grand Prix,2022,-14.74300000000001,-31.41800000000002,0,0,0.0972222222222222,0.1707317073170731,-2.0
HAM,8,MEDIUM,1,8.0,5,84.78,Hungarian Grand Prix,2022,-14.120000000000005,-31.030000000000012,0,0,0.1111111111111111,0.1951219512195122,-2.0
HAM,9,MEDIUM,1,9.0,5,84.627,Hungarian Grand Prix,2022,-14.40400000000001,-31.18300000000002,0,0,0.125,0.2195121951219512,-2.0
HAM,10,MEDIUM,1,10.0,5,85.266,Hungarian Grand Prix,2022,-13.934999999999988,-46.492,0,0,0.1388888888888889,0.2439024390243902,-2.0
HAM,11,MEDIUM,1,11.0,5,85.711,Hungarian Grand Prix,2022,-13.787999999999997,-61.120000000000005,0,0,0.1527777777777778,0.2682926829268293,-2.0
HAM,12,MEDIUM,1,12.0,4,83.827,Hungarian Grand Prix,2022,-15.418999999999995,-63.004000000000005,0,0,0.1666666666666666,0.2926829268292683,-1.0
HAM,13,MEDIUM,1,13.0,4,84.29,Hungarian Grand Prix,2022,-15.082999999999998,-62.541,0,0,0.1805555555555555,0.3170731707317073,-1.0
HAM,14,MEDIUM,1,14.0,4,84.666,Hungarian Grand Prix,2022,-14.802999999999995,-62.165000000000006,0,0,0.1944444444444444,0.3414634146341463,-1.0
HAM,15,MEDIUM,1,15.0,4,85.186,Hungarian Grand Prix,2022,-14.148999999999988,-61.645,0,0,0.2083333333333333,0.3658536585365853,-1.0
HAM,16,MEDIUM,1,16.0,4,84.825,Hungarian Grand Prix,2022,-14.602999999999994,-62.006,0,0,0.2222222222222222,0.3902439024390244,-2.0
HAM,17,MEDIUM,1,17.0,3,84.972,Hungarian Grand Prix,2022,-14.800000000000011,-61.85900000000001,0,0,0.2361111111111111,0.4146341463414634,-1.0
HAM,18,MEDIUM,1,18.0,2,85.201,Hungarian Grand Prix,2022,-39.545,-62.68500000000002,0,0,0.25,0.4390243902439024,-1.0
HAM,19,MEDIUM,1,19.0,2,87.388,Hungarian Grand Prix,2022,16.870000000000005,-60.498000000000005,0,0,0.2638888888888889,0.4634146341463415,2.0
HAM,20,MEDIUM,2,1.0,7,103.175,Hungarian Grand Prix,2022,-46.622,-2.370999999999995,1,0,0.2777777777777778,0.0227272727272727,-5.0
HAM,21,MEDIUM,2,2.0,7,83.495,Hungarian Grand Prix,2022,-14.607,-17.417999999999992,1,0,0.2916666666666667,0.0454545454545454,-5.0
HAM,22,MEDIUM,2,3.0,6,83.364,Hungarian Grand Prix,2022,-15.066999999999991,-26.48899999999999,1,0,0.3055555555555556,0.0681818181818181,-4.0
HAM,23,MEDIUM,2,4.0,5,83.482,Hungarian Grand Prix,2022,-15.409999999999997,-32.829999999999984,1,0,0.3194444444444444,0.0909090909090909,-3.0
HAM,24,MEDIUM,2,5.0,5,83.831,Hungarian Grand Prix,2022,-14.655999999999992,-48.34099999999998,1,0,0.3333333333333333,0.1136363636363636,-3.0
