Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta,Cumulative_Degradation,PitStop,PitNextLap,RaceProgress,Normalized_TyreLife,Position_Change
ALB,1,MEDIUM,1,2.0,17,100.625,Abu Dhabi Grand Prix,2023,0.0,0.0,0,0,0.0172413793103448,0.1176470588235294,0.0
ALB,2,MEDIUM,1,3.0,18,93.56,Abu Dhabi Grand Prix,2023,-7.064999999999998,-7.064999999999998,0,0,0.0344827586206896,0.1764705882352941,-1.0
ALB,3,MEDIUM,1,4.0,18,91.768,Abu Dhabi Grand Prix,2023,-1.7920000000000016,-8.857,0,0,0.0517241379310344,0.2352941176470588,0.0
ALB,4,MEDIUM,1,5.0,18,91.591,Abu Dhabi Grand Prix,2023,-0.1770000000000067,-9.034000000000006,0,0,0.0689655172413793,0.2941176470588235,0.0
ALB,5,MEDIUM,1,6.0,18,91.422,Abu Dhabi Grand Prix,2023,-0.1689999999999969,-9.203000000000005,0,0,0.0862068965517241,0.3529411764705882,0.0
ALB,6,MEDIUM,1,7.0,18,91.491,Abu Dhabi Grand Prix,2023,0.0690000000000026,-9.134,0,0,0.1034482758620689,0.4117647058823529,0.0
ALB,7,MEDIUM,1,8.0,18,91.438,Abu Dhabi Grand Prix,2023,-0.0529999999999972,-9.186999999999998,0,0,0.1206896551724138,0.4705882352941176,0.0
ALB,8,MEDIUM,1,9.0,17,91.58,Abu Dhabi Grand Prix,2023,0.1419999999999959,-9.045000000000002,0,0,0.1379310344827586,0.5294117647058824,1.0
ALB,9,MEDIUM,1,10.0,17,91.644,Abu Dhabi Grand Prix,2023,0.0640000000000071,-8.980999999999995,0,0,0.1551724137931034,0.5882352941176471,0.0
ALB,10,MEDIUM,1,11.0,17,91.978,Abu Dhabi Grand Prix,2023,0.333999999999989,-8.647000000000006,0,0,0.1724137931034483,0.6470588235294118,0.0
ALB,11,MEDIUM,1,12.0,17,91.962,Abu Dhabi Grand Prix,2023,-0.0159999999999911,-8.662999999999997,0,0,0.1896551724137931,0.7058823529411765,0.0
ALB,12,MEDIUM,1,13.0,17,91.958,Abu Dhabi Grand Prix,2023,-0.0040000000000048,-8.667000000000002,0,0,0.2068965517241379,0.7647058823529411,0.0
ALB,13,MEDIUM,1,14.0,15,91.7,Abu Dhabi Grand Prix,2023,-0.2579999999999955,-8.924999999999997,0,0,0.2241379310344827,0.8235294117647058,2.0
ALB,14,MEDIUM,1,15.0,13,91.655,Abu Dhabi Grand Prix,2023,-0.0450000000000017,-8.969999999999999,0,0,0.2413793103448276,0.8823529411764706,2.0
ALB,15,MEDIUM,1,16.0,11,91.729,Abu Dhabi Grand Prix,2023,0.073999999999998,-8.896,0,0,0.2586206896551724,0.9411764705882352,2.0
ALB,16,MEDIUM,1,17.0,12,94.282,Abu Dhabi Grand Prix,2023,2.5529999999999973,-6.343000000000004,0,1,0.2758620689655172,1.0,-1.0
ALB,17,HARD,2,1.0,19,111.901,Abu Dhabi Grand Prix,2023,0.0,0.0,1,0,0.293103448275862,0.037037037037037,-7.0
ALB,18,HARD,2,2.0,19,90.463,Abu Dhabi Grand Prix,2023,-21.438,-21.438,0,0,0.3103448275862069,0.074074074074074,0.0
ALB,19,HARD,2,3.0,19,90.573,Abu Dhabi Grand Prix,2023,0.1099999999999994,-21.328000000000003,0,0,0.3275862068965517,0.1111111111111111,0.0
ALB,20,HARD,2,4.0,19,90.392,Abu Dhabi Grand Prix,2023,-0.1809999999999973,-21.509,0,0,0.3448275862068966,0.1481481481481481,0.0
ALB,21,HARD,2,5.0,19,90.54,Abu Dhabi Grand Prix,2023,0.1480000000000103,-21.36099999999999,0,0,0.3620689655172414,0.1851851851851851,0.0
ALB,22,HARD,2,6.0,18,90.706,Abu Dhabi Grand Prix,2023,0.1659999999999968,-21.195,0,0,0.3793103448275862,0.2222222222222222,1.0
ALB,23,HARD,2,7.0,18,90.272,Abu Dhabi Grand Prix,2023,-0.4339999999999975,-21.62899999999999,0,0,0.396551724137931,0.2592592592592592,0.0
ALB,24,HARD,2,8.0,18,90.511,Abu Dhabi Grand Prix,2023,0.2389999999999901,-21.39,0,0,0.4137931034482758,0.2962962962962963,0.0
ALB,25,HARD,2,9.0,18,90.655,Abu Dhabi Grand Prix,2023,0.1440000000000054,-21.245999999999995,0,0,0.4310344827586206,0.3333333333333333,0.0
ALB,26,HARD,2,10.0,17,90.092,Abu Dhabi Grand Prix,2023,-0.5630000000000024,-21.809,0,0,0.4482758620689655,0.3703703703703703,1.0
ALB,27,HARD,2,11.0,17,90.728,Abu Dhabi Grand Prix,2023,0.6359999999999957,-21.173,0,0,0.4655172413793103,0.4074074074074074,0.0
ALB,28,HARD,2,12.0,17,90.631,Abu Dhabi Grand Prix,2023,-0.0969999999999942,-21.27,0,0,0.4827586206896552,0.4444444444444444,0.0
ALB,29,HARD,2,13.0,17,90.588,Abu Dhabi Grand Prix,2023,-0.0430000000000063,-21.313,0,0,0.5,0.4814814814814814,0.0
ALB,30,HARD,2,14.0,16,90.591,Abu Dhabi Grand Prix,2023,0.0030000000000001,-21.31,0,0,0.5172413793103449,0.5185185185185185,1.0
